gene	pLI	LOEUF
DCK	0.0043339	1.031
DCLK1	1.0	0.31
DCLK2	0.84481	0.525
DCLK3	1.0261e-07	0.947
DCLRE1A	1.9549e-15	0.856
DCLRE1B	0.94257	0.545
DCLRE1C	8.1784e-08	0.866
DCN	0.1405	0.789
DCP1A	0.99945	0.414
DCP1B	1.7415e-11	0.943
DCP2	6.8123e-06	0.793
DCPS	2.2711e-07	1.0
DCST1	6.0631e-23	1.032
DCST2	5.519e-17	0.941
DCSTAMP	7.9894e-07	1.003
DCT	1.8443e-13	1.101
DCTD	2.1187e-07	1.924
DCTN1	0.99981	0.448
DCTN2	0.87043	0.54
DCTN3	5.2145e-08	1.176
DCTN4	0.87124	0.549
DCTN5	0.027144	0.899
DCTN6	0.91235	0.575
DCTPP1	0.0001147	1.458
DCUN1D1	0.94156	0.529
DCUN1D2	6.0664e-08	1.357
DCUN1D3	0.99174	0.46
DCUN1D4	0.011443	0.787
DCUN1D5	0.98748	0.443
DCXR	3.6267e-10	1.362
DDA1	0.98425	0.455
DDAH1	0.00046259	1.137
DDAH2	0.92407	0.554
DDB1	1.0	0.195
DDB2	0.00014594	0.719
DDC	7.7907e-10	0.922
DDHD1	4.5078e-05	0.642
DDHD2	1.2846e-06	0.758
DDI1	4.7905e-05	1.337
DDI2	1.0	0.223
DDIAS	0.097506	1.118
DDIT3	0.00014889	1.188
DDIT4	1.0999e-07	1.475
DDIT4L	0.00017081	1.266
DDN	0.043647	1.166
DDO	3.2145e-06	1.282
DDOST	0.0007799	0.747
DDR1	1.6272e-13	0.808
DDR2	1.0	0.375
DDRGK1	1.2333e-12	1.213
DDT	0.0098964	1.926
DDTL	0.20229	1.832
DDX1	0.99999	0.33
DDX10	9.2842e-15	0.86
DDX11	4.4735e-15	0.781
DDX17	1.0	0.252
DDX18	0.97984	0.496
DDX19A	0.99997	0.36
DDX19B	0.035137	0.635
DDX20	5.0886e-16	0.965
DDX21	1.0	0.29
DDX23	1.0	0.412
DDX24	0.86568	0.521
DDX25	1.6395e-26	1.348
DDX27	0.28736	0.528
DDX28	7.4481e-09	1.261
DDX31	2.8108e-17	0.902
DDX39A	0.99756	0.455
DDX39B	1.0	0.219
DDX4	1.0	0.34
DDX41	8.2138e-10	0.768
DDX42	1.0	0.297
DDX43	3.0158e-06	0.787
DDX46	1.0	0.292
DDX47	1.1632e-14	1.312
DDX49	1.3294e-16	1.194
DDX5	1.0	0.177
DDX50	2.2702e-11	0.778
DDX51	2.9904e-26	1.265
DDX52	5.6418e-12	0.889
DDX54	4.8112e-15	0.821
DDX55	6.845e-16	1.009
DDX56	3.439e-11	0.905
DDX58	3.6576e-20	0.985
DDX59	2.7973e-08	0.864
DDX6	1.0	0.128
DDX60	4.927e-27	0.857
DDX60L	1.1206000000000001e-35	1.037
DEAF1	1.6906e-18	1.18
DECR1	1.1438e-14	1.566
DECR2	8.6009e-15	1.731
DEDD	0.99998	0.255
DEDD2	1.6689e-05	1.12
DEF6	0.0063107	0.61
DEF8	1.1796e-09	0.928
DEFA3	0.7768	0.74
DEFA4	4.4419e-05	1.954
DEFA5	6.0032e-05	1.879
DEFA6	0.0047197	1.911
DEFB1	2.2418e-05	1.969
DEFB105A	0.471	1.566
DEFB108B	0.19134	1.849
DEFB110	0.00013583	1.95
DEFB112	0.00084167	1.955
DEFB113	0.0047609	1.962
DEFB114	0.19651	1.841
DEFB115	0.0059575	1.486
DEFB116	0.0047817	1.91
DEFB118	0.039771	1.864
DEFB119	0.011168	1.774
DEFB121	0.00082182	1.956
DEFB123	0.031485	1.718
DEFB124	0.73231	0.833
DEFB125	0.33885	1.526
DEFB126	0.27031	1.696
DEFB127	0.14654	1.702
DEFB128	0.31186	1.595
DEFB129	0.22052	1.476
DEFB131A	0.028944	1.909
DEFB131B	0.053662	1.797
DEFB132	0.0027261	1.947
DEFB135	2.6224e-07	1.954
DEFB136	0.00018577	1.968
DEFB4A	0.33189	1.85
DEGS1	3.8147e-05	1.051
DEGS2	6.4136e-05	1.125
DEK	0.002755	0.768
DELE1	9.4373e-17	1.179
DENND10	0.00075229	1.082
DENND11	6.1094e-09	1.049
DENND1A	0.00019933	0.593
DENND1B	5.771e-06	0.798
DENND1C	1.6321e-18	1.023
DENND2A	4.0359e-06	0.632
DENND2B	1.0	0.373
DENND2C	1.7878e-11	0.742
DENND2D	2.6249e-07	0.785
DENND3	1.6001e-16	0.805
DENND4A	0.99992	0.443
DENND4B	0.0054079	0.527
DENND4C	1.9494e-09	0.59
DENND5A	0.00023707	0.574
DENND5B	1.0	0.351
DENND6A	4.2422e-05	0.708
DENND6B	3.3262000000000003e-25	1.212
DENR	0.9167	0.57
DEPDC1	2.5988e-11	0.931
DEPDC1B	7.3204e-11	0.959
DEPDC4	2.1012e-14	1.415
DEPDC5	1.0	0.403
DEPDC7	3.2551e-09	0.986
DEPP1	0.38207	1.774
DEPTOR	2.8273e-13	1.243
DERA	0.34069	0.658
DERL1	0.0090634	0.737
DERL2	0.33268	0.801
DERL3	3.4176e-08	1.414
DERPC	0.34113	1.839
DES	2.4033e-06	0.81
DESI1	3.4513e-05	1.118
DESI2	0.58812	0.811
DET1	0.0065174	0.692
DEUP1	9.6822e-11	1.08
DEXI	0.105	1.823
DFFA	0.0077183	0.784
DFFB	4.4922e-09	1.143
DGAT1	3.8462e-18	1.055
DGAT2	2.4276e-08	0.93
DGCR2	0.0037203	0.686
DGCR6L	2.4374e-07	1.119
DGCR8	1.0	0.27
DGKA	0.99999	0.419
DGKB	0.00015842	0.755
DGKD	0.00050459	0.547
DGKE	1.2614e-13	0.995
DGKG	3.4251e-16	0.915
DGKH	1.358e-12	0.689
DGKI	0.99997	0.428
DGKQ	7.7468e-36	1.294
DGLUCY	2.1198000000000002e-19	1.215
DGUOK	6.2222e-08	1.115
DHCR24	0.048572	0.597
DHCR7	1.1484e-12	1.087
DHDDS	0.90959	0.536
DHDH	5.4539e-10	1.275
DHFR	0.060812	0.994
DHFR2	0.0025394	1.32
DHH	0.0002665	0.999
DHODH	1.6102e-08	1.034
DHPS	3.6337e-05	0.824
DHRS1	7.465e-12	1.202
DHRS11	0.0002989	0.907
DHRS12	1.0309e-07	1.239
DHRS13	4.1944e-13	1.894
DHRS2	8.9919e-11	1.4
DHRS3	0.017117	0.79
DHRS4	1.1154e-05	1.043
DHRS4L2	1.055e-07	1.306
DHRS7	1.5411e-11	1.292
DHRS7B	1.051e-07	1.179
DHRS7C	8.9446e-10	1.297
DHRS9	0.00015085	0.951
DHTKD1	2.3646e-15	0.864
DHX15	1.0	0.156
DHX16	1.0486e-14	0.716
DHX29	0.00027926	0.578
DHX30	1.0	0.08
DHX32	2.2925e-14	0.919
DHX33	3.7704e-07	0.743
DHX34	1.2787e-29	1.047
DHX35	1.6281999999999998e-21	1.008
DHX36	1.0	0.401
DHX37	0.19775	0.518
DHX38	2.7522e-20	0.752
DHX40	0.27695	0.569
DHX57	3.0238e-17	0.742
DHX58	8.883e-15	0.958
DHX8	0.00071142	0.554
DHX9	1.0	0.263
DIABLO	3.907e-10	1.245
DIAPH1	1.0	0.367
DIAPH3	5.867299999999999e-21	0.889
DICER1	1.0	0.275
DIDO1	1.0	0.235
DIMT1	3.6471e-09	1.113
DIO1	0.00040861	0.924
DIO2	1.405e-06	1.286
DIP2A	1.5943e-09	0.617
DIP2B	0.9998	0.448
DIP2C	1.0	0.235
DIPK1A	2.122e-07	1.244
DIPK1B	2.7168e-05	1.215
DIPK1C	9.3948e-17	1.882
DIPK2A	7.8662e-07	1.004
DIRAS1	0.35054	0.907
DIRAS2	0.4637	0.782
DIRAS3	0.34042	1.84
DIS3	3.6179000000000004e-29	1.076
DIS3L	6.3123000000000005e-27	0.964
DIS3L2	0.99711	0.468
DISC1	5.9742e-15	0.893
DISP1	1.3426e-07	1.028
DISP2	1.0978e-12	0.813
DISP3	1.0615e-25	0.886
DIXDC1	6.036e-12	0.783
DKK1	2.0669e-05	1.101
DKK2	0.61166	0.621
DKK3	1.9559e-06	0.955
DKK4	2.8845e-08	1.636
DKKL1	0.0048961	1.017
DLAT	3.1812e-06	0.759
DLC1	0.98756	0.474
DLD	0.00025663	0.727
DLEC1	3.5457e-34	0.813
DLEU7	4.1442e-08	1.902
DLG1	0.98737	0.491
DLG2	0.99976	0.444
DLG4	1.0	0.151
DLG5	1.0	0.333
DLGAP1	1.0	0.224
DLGAP2	0.99993	0.425
DLGAP3	1.0	0.367
DLGAP4	1.0	0.331
DLGAP5	4.2927e-23	1.112
DLK1	0.9948	0.461
DLK2	0.95994	0.526
DLL1	1.0	0.236
DLL3	3.0199e-20	1.512
DLL4	1.0	0.197
DLST	0.989	0.489
DLX1	0.93873	0.546
DLX2	0.95772	0.529
DLX3	0.90732	0.559
DLX4	0.00049846	1.056
DLX5	0.98115	0.498
DLX6	0.99841	0.379
DMAC1	1.237e-05	1.842
DMAC2	9.7359e-12	1.319
DMAC2L	4.8046e-07	1.315
DMAP1	0.0014506	0.691
DMBT1	1e-51	0.904
DMBX1	0.99892	0.407
DMC1	4.5409e-05	0.99
DMGDH	6.2724999999999994e-21	0.942
DMKN	4.9473e-17	1.044
DMP1	0.0022589	1.209
DMPK	0.00053027	0.67
DMRT1	0.99733	0.432
DMRT2	1.9527e-11	1.279
DMRT3	5.6159e-10	1.273
DMRTA1	3.7271e-12	1.279
DMRTA2	0.0080797	1.236
DMRTB1	0.24115	0.716
DMRTC2	0.95952	0.521
DMTF1	0.72035	0.539
DMTN	0.00082996	0.695
DMWD	0.069449	0.65
DMXL1	1.0	0.359
DMXL2	1.0	0.36
DNA2	6.8618e-27	1.115
DNAAF1	3.4027e-21	1.135
DNAAF10	5.1851e-07	0.991
DNAAF11	1.6371e-07	1.018
DNAAF2	1.8693e-27	1.811
DNAAF3	6.1143e-12	1.139
DNAAF4	4.0683e-10	1.018
DNAAF5	3.0536e-20	1.12
DNAAF8	1.2498e-22	1.456
DNAAF9	0.00067662	0.752
DNAH1	5.1879e-73	0.759
DNAH10	8.488000000000001e-78	0.763
DNAH11	1.1451e-114	0.912
DNAH12	9.1992e-63	0.827
DNAH14	4.643399999999999e-102	0.969
DNAH17	1.7826e-96	0.859
DNAH2	6.6977000000000005e-56	0.655
DNAH5	8.829399999999999e-79	0.764
DNAH6	1.3689e-56	0.75
DNAH7	2.9811999999999995e-102	0.961
DNAH8	1.3946e-41	0.692
DNAH9	6.7994e-74	0.775
DNAI1	7.0296e-16	0.854
DNAI2	9.4569e-16	0.966
DNAI3	4.5727e-18	0.879
DNAI4	2.6675e-14	0.862
DNAI7	2.8353e-13	1.282
DNAJA1	0.0015757	0.772
DNAJA2	1.0	0.258
DNAJA3	0.0001807	0.737
DNAJA4	7.4782e-08	1.024
DNAJB1	0.0015878	0.953
DNAJB11	0.00011029	0.933
DNAJB12	0.97302	0.509
DNAJB13	0.00019212	0.9
DNAJB14	0.094879	0.64
DNAJB2	0.00022079	0.836
DNAJB4	0.68111	0.617
DNAJB5	0.65152	0.605
DNAJB6	0.00077061	0.92
DNAJB7	0.042838	1.85
DNAJB8	0.37536	1.786
DNAJB9	0.0045376	0.964
DNAJC1	3.1837e-09	0.961
DNAJC10	1.0183e-14	1.076
DNAJC11	1.0	0.282
DNAJC12	8.241e-07	1.193
DNAJC13	1.0	0.267
DNAJC14	1.0	0.272
DNAJC15	2.4289e-10	1.634
DNAJC16	3.2137e-18	0.933
DNAJC17	2.2343e-09	0.95
DNAJC18	8.6559e-09	1.0
DNAJC19	7.1195e-05	1.547
DNAJC2	0.99747	0.466
DNAJC21	1.0319e-16	1.083
DNAJC22	1.7268e-09	1.374
DNAJC24	0.0010469	1.514
DNAJC25	3.21e-06	0.961
DNAJC27	0.055699	0.799
DNAJC28	4.9076e-06	0.972
DNAJC3	1.1976e-05	0.738
DNAJC30	5.877e-07	1.484
DNAJC4	7.3553e-10	1.444
DNAJC5	0.99993	0.205
DNAJC5B	2.6825e-08	1.356
DNAJC5G	0.0013889	1.019
DNAJC6	0.99999	0.416
DNAJC7	0.99998	0.389
DNAJC8	0.0064658	0.733
DNAJC9	0.00093997	0.842
DNAL1	2.009e-05	1.47
DNAL4	0.00063929	1.443
DNALI1	3.6489e-10	1.202
DNASE1	5.4406e-16	1.46
DNASE1L2	2.3996e-15	1.748
DNASE1L3	5.593e-08	1.122
DNASE2	1.8542e-08	1.195
DNASE2B	2.4275e-14	1.21
DND1	0.69869	0.635
DNER	0.21022	0.561
DNHD1	1.1816e-104	0.897
DNLZ	4.3389e-05	1.955
DNM1	0.99997	0.417
DNM1L	0.92424	0.506
DNM2	1.0	0.239
DNM3	5.783e-06	0.689
DNMBP	6.7533e-13	0.664
DNMT1	1.0	0.15
DNMT3A	3.0684e-146	1.998
DNMT3B	1.0	0.396
DNMT3L	1.1787e-10	1.179
DNPEP	2.5859e-12	0.963
DNPH1	1.1585e-08	1.914
DNTT	6.4596e-11	0.942
DNTTIP1	0.017542	0.673
DNTTIP2	1.6153e-10	0.976
DOC2A	1.5809e-08	0.974
DOC2B	1.4579e-06	1.371
DOCK1	1.9567e-18	0.637
DOCK10	1.3444e-15	0.649
DOCK2	1.0	0.421
DOCK3	1.0	0.298
DOCK4	0.9999	0.445
DOCK5	2.2948999999999997e-21	0.679
DOCK6	1.38e-40	0.87
DOCK7	8.7006e-08	0.551
DOCK8	2.9093e-17	0.622
DOCK9	1.0	0.425
DOHH	8.472e-07	1.688
DOK1	0.012705	0.74
DOK2	3.8138e-13	1.838
DOK3	1.3437e-09	1.47
DOK5	1.0244e-05	0.932
DOK6	0.019936	0.692
DOK7	2.311e-14	1.658
DOLK	0.00023739	0.858
DOLPP1	0.084124	0.69
DONSON	4.6796e-10	0.918
DOP1A	1.0	0.395
DOP1B	1.066e-39	0.831
DOT1L	1.0	0.321
DPAGT1	2.753e-05	0.835
DPCD	2.9916e-05	1.07
DPEP1	3.5079e-20	1.505
DPEP2	1.2437e-13	1.089
DPEP2NB	0.18217	1.863
DPEP3	8.8818e-13	1.097
DPF1	0.99983	0.415
DPF2	1.0	0.287
DPF3	0.98725	0.491
DPH1	9.9258e-22	1.321
DPH2	7.5361e-07	0.914
DPH3	0.0070828	1.439
DPH5	1.2937e-06	1.295
DPH6	1.6892e-08	1.399
DPH7	3.553e-17	1.37
DPM1	1.934e-05	1.005
DPM2	0.013762	1.274
DPM3	0.0094613	1.364
DPP10	1.0	0.378
DPP3	2.97e-13	0.827
DPP4	1.6454e-17	0.901
DPP6	1.1525e-10	0.751
DPP7	5.6935e-33	1.707
DPP8	1.0	0.368
DPP9	8.931e-07	0.647
DPPA2	4.0989e-07	1.004
DPPA3	0.0083259	1.113
DPPA4	5.9267e-05	0.901
DPPA5	4.2878e-05	1.484
DPT	1.9815e-05	0.963
DPY19L1	0.29103	0.633
DPY19L2	0.0003329	0.732
DPY19L3	4.493e-05	0.673
DPY19L4	5.1334e-26	1.198
DPY30	0.46037	0.747
DPYD	6.0188000000000005e-30	1.09
DPYS	4.0417e-11	1.029
DPYSL2	1.0	0.29
DPYSL3	0.99998	0.391
DPYSL4	1.2303e-10	0.886
DPYSL5	1.0	0.268
DQX1	3.8918e-18	0.971
DR1	0.69423	0.649
DRAM1	0.003693	1.134
DRAM2	1.0566e-06	1.115
DRAP1	0.1833	0.738
DRAXIN	5.2414e-08	1.082
DRC1	1.5561e-18	0.867
DRC3	2.0476e-11	1.056
DRC7	1.0766e-18	0.883
DRD1	0.99991	0.252
DRD2	0.99986	0.372
DRD3	0.65813	0.604
DRD4	7.1662e-14	1.952
DRD5	0.094369	1.851
DRG1	0.016645	0.698
DRG2	6.7865e-09	0.932
DRGX	4.3971e-06	1.062
DRICH1	1.7268e-09	1.309
DROSHA	1.0	0.39
DSC1	2.0145e-21	0.951
DSC2	7.7585e-10	0.743
DSC3	2.1745e-31	1.271
DSCAM	1.0	0.28
DSCAML1	1.0	0.253
DSCC1	6.0525e-05	0.847
DSE	0.062098	0.563
DSEL	1.6427e-11	0.743
DSG1	0.99927	0.455
DSG2	1.4607e-07	0.764
DSG3	1.5328e-13	0.862
DSG4	6.2985e-24	1.061
DSN1	7.7743e-07	0.847
DSP	0.99991	0.443
DSPP	1.3084e-09	1.271
DST	1.0	0.297
DSTN	0.010012	1.005
DSTYK	0.99974	0.445
DTD1	0.031362	0.809
DTD2	0.00013436	1.429
DTHD1	2.15e-18	1.034
DTL	0.010461	0.635
DTNA	0.40228	0.523
DTNB	2.4508e-16	0.936
DTNBP1	2.4763e-10	1.103
DTWD1	2.4768e-09	1.283
DTWD2	1.4309e-15	1.711
DTX1	0.00025379	0.74
DTX2	5.6227e-06	0.855
DTX3	0.77819	0.595
DTX3L	0.00025397	0.686
DTX4	0.00013802	0.732
DTYMK	2.0617e-07	1.404
DUOX1	3.1158e-34	0.89
DUOX2	4.3443e-64	1.165
DUOXA1	1.7428e-05	1.012
DUOXA2	5.9217e-07	1.16
DUS1L	2.1723e-15	1.103
DUS2	9.6795e-12	0.875
DUS3L	6.6133e-20	1.139
DUS4L	2.5049e-09	1.178
DUSP1	0.32647	0.691
DUSP10	0.08655	0.704
DUSP12	4.3746e-06	0.945
DUSP13	2.3022e-12	1.407
DUSP14	0.49867	0.766
DUSP15	6.0078e-09	1.5
DUSP16	0.97336	0.502
DUSP18	0.10856	0.984
DUSP19	1.1108e-06	1.516
DUSP2	1.4629e-07	1.442
DUSP22	8.2465e-11	1.407
DUSP23	0.0010061	1.352
DUSP26	0.0021714	0.977
DUSP28	5.0228e-07	1.977
DUSP29	2.4226e-05	1.44
DUSP3	0.040157	1.062
DUSP4	0.020237	0.808
DUSP5	2.0296e-06	1.069
DUSP6	0.99379	0.45
DUSP7	0.93773	0.547
DUSP8	0.01854	0.813
DUT	3.3881e-07	1.684
DUXA	1.035e-07	1.18
DVL1	1.2538e-14	1.046
DVL2	2.9734e-06	0.719
DVL3	0.69837	0.536
DXO	1.4657e-14	1.264
DYDC1	6.6006e-05	1.06
DYDC2	4.7968e-07	1.404
DYM	7.9636e-21	1.081
DYNAP	0.065982	1.221
DYNC1H1	1.0	0.117
DYNC1I1	4.7741e-05	0.647
DYNC1I2	2.0289e-08	0.84
DYNC1LI1	0.98072	0.502
DYNC1LI2	0.99538	0.474
DYNC2H1	1.5874e-83	0.859
DYNC2I1	2.2708e-17	0.802
DYNC2I2	8.6153e-12	1.036
DYNC2LI1	0.0082431	1.028
DYNLL1	0.6888	0.744
DYNLL2	0.96044	0.462
DYNLRB1	0.24199	0.851
DYNLRB2	7.9805e-06	1.624
DYNLT1	7.4145e-05	1.276
DYNLT2	2.6813e-07	1.376
DYNLT2B	0.00021154	1.236
DYNLT4	0.00043724	1.943
DYNLT5	4.127e-07	1.657
DYRK1A	1.0	0.172
DYRK1B	0.77746	0.548
DYRK2	0.98561	0.494
DYRK3	3.9383e-08	1.023
DYRK4	7.1086e-20	1.118
DYSF	3.6575e-52	0.836
DYTN	5.4938e-27	1.328
DZIP1	1.1751e-23	1.01
DZIP1L	2.5456e-30	1.257
DZIP3	5.4483e-16	0.781
E2F1	0.99923	0.399
E2F2	0.0020761	0.761
E2F3	0.99959	0.393
E2F4	0.35515	0.615
E2F5	0.00044343	1.008
E2F6	0.00021621	1.073
E2F7	0.018949	0.58
E2F8	0.42701	0.539
E4F1	0.0065018	0.638
EAF1	6.3214e-05	1.012
EAF2	0.00011609	1.136
EAPP	1.2797e-10	1.441
EARS2	7.0535e-14	1.138
EBAG9	0.64538	0.664
EBF1	1.0	0.264
EBF2	0.99998	0.394
EBF3	1.0	0.353
EBI3	6.3142e-07	1.373
EBLN1	0.012116	1.908
EBLN2	9.0397e-05	1.962
EBNA1BP2	1.036e-09	1.006
EBPL	6.1693e-09	1.412
ECD	1.8919e-11	0.888
ECE1	0.98765	0.482
ECE2	2.4459e-22	0.965
ECEL1	1.7007e-27	1.099
ECH1	1.5281e-09	1.083
ECHDC1	4.4817e-11	1.452
ECHDC2	1.241e-07	1.033
ECHDC3	3.4446e-06	1.614
ECHS1	0.0009322	0.907
ECI1	6.9732e-13	1.485
ECI2	6.3048e-07	0.949
ECM1	3.8236e-17	1.051
ECM2	1.9387e-13	1.003
ECPAS	1.0	0.316
ECRG4	2.5092e-06	1.525
ECSCR	0.0032974	1.27
ECSIT	4.2841e-09	1.033
ECT2	0.00015403	0.664
ECT2L	6.686200000000001e-35	1.127
EDAR	1.243e-09	0.927
EDARADD	0.0010143	0.991
EDC3	0.042724	0.656
EDC4	0.59346	0.494
EDDM13	0.00016156	1.943
EDDM3A	0.10504	1.943
EDDM3B	0.30261	1.883
EDEM1	8.060300000000001e-19	1.115
EDEM2	7.2159e-07	0.749
EDEM3	4.8964e-06	0.671
EDF1	0.97673	0.497
EDIL3	8.9833e-06	0.705
EDN1	0.0045322	0.84
EDN2	0.0042966	0.969
EDN3	0.38182	0.696
EDNRA	0.99908	0.424
EDNRB	0.49438	0.585
EDRF1	0.017283	0.53
EEA1	8.2297e-12	0.663
EED	0.99914	0.41
EEF1A1	1.0	0.126
EEF1A2	0.99995	0.314
EEF1AKMT1	4.746e-06	1.169
EEF1AKMT2	4.0274e-06	1.589
EEF1AKMT3	4.0906e-06	1.345
EEF1AKMT4	7.936e-05	1.045
EEF1AKNMT	8.8281e-14	0.949
EEF1B2	0.212	0.688
EEF1D	3.2684e-14	1.085
EEF1E1	9.6669e-05	1.35
EEF1G	0.99994	0.397
EEF2	0.99999	0.39
EEF2K	3.9516e-17	0.896
EEF2KMT	2.1724e-11	1.377
EEFSEC	9.5613e-16	1.345
EEPD1	0.8123	0.561
EFCAB1	0.0002122	1.35
EFCAB10	0.16678	1.884
EFCAB11	0.0004787	1.06
EFCAB12	5.4121e-13	1.061
EFCAB13	1.0011e-12	0.953
EFCAB14	6.6719e-11	0.962
EFCAB2	3.4513e-09	1.466
EFCAB3	6.9134e-12	1.102
EFCAB5	8.3587e-31	0.908
EFCAB6	1.9572e-39	1.013
EFCAB7	1.3984e-13	1.112
EFCAB8	1.8296e-20	0.946
EFCAB9	3.1223e-06	1.493
EFCC1	3.1325e-18	1.434
EFEMP1	1.0	0.373
EFEMP2	0.62375	0.56
EFHB	5.4228000000000004e-27	1.244
EFHC1	2.4306e-13	0.906
EFHD1	0.0040676	1.121
EFHD2	0.00065333	1.182
EFL1	1.4689e-12	0.718
EFNA1	0.8465	0.59
EFNA2	1.8385e-06	1.447
EFNA3	0.00033472	1.033
EFNA4	7.9676e-08	1.332
EFNA5	0.9772	0.476
EFNB2	0.99997	0.261
EFNB3	0.020898	0.805
EFR3A	4.5923e-14	0.967
EFR3B	4.5772e-12	0.747
EFS	7.218e-11	1.165
EFTUD2	1.0	0.145
EGF	1.3128e-17	0.741
EGFL7	9.166499999999999e-21	1.797
EGFL8	6.4594e-10	1.091
EGFLAM	1.6393e-17	0.83
EGFR	0.98251	0.475
EGLN1	0.012898	0.739
EGLN2	0.668	0.582
EGLN3	0.035666	0.8
EGR1	0.99384	0.462
EGR2	0.99692	0.401
EGR3	0.9974	0.396
EGR4	8.2494e-09	1.564
EHBP1	0.0061801	0.557
EHBP1L1	5.719099999999999e-38	1.062
EHD1	0.11375	0.676
EHD2	1.4726e-07	1.023
EHD3	0.61278	0.578
EHD4	2.0805e-10	1.018
EHF	0.99126	0.483
EHHADH	1.1695e-08	0.873
EHMT1	1.0	0.159
EI24	0.019204	0.722
EID1	0.93908	0.544
EID2	0.43338	1.295
EID2B	0.24148	1.759
EID3	0.0048698	1.908
EIF1	0.85646	0.626
EIF1AD	0.40984	0.689
EIF1B	0.51839	0.8
EIF2A	4.3393e-16	1.107
EIF2AK1	2.2262e-11	0.884
EIF2AK2	2.12e-05	0.735
EIF2AK3	0.00057257	0.606
EIF2AK4	2.0877e-22	0.75
EIF2B1	9.7941e-09	1.06
EIF2B2	1.6143e-10	1.25
EIF2B3	0.92891	0.522
EIF2B4	7.3276e-05	0.687
EIF2B5	0.1647	0.544
EIF2D	9.1418e-13	0.862
EIF2S1	0.99981	0.268
EIF2S2	0.99999	0.261
EIF2S3B	0.0033412	0.896
EIF3A	1.0	0.18
EIF3B	1.0	0.107
EIF3C	0.73634	0.746
EIF3D	1.0	0.191
EIF3E	0.00028501	0.825
EIF3F	0.99419	0.46
EIF3G	0.99958	0.408
EIF3H	7.0136e-05	0.799
EIF3J	0.53152	0.677
EIF3K	1.0712e-07	1.041
EIF3L	0.035874	0.585
EIF3M	0.12509	0.631
EIF4A1	1.0	0.337
EIF4A2	1.0	0.298
EIF4A3	1.0	0.084
EIF4B	1.0	0.176
EIF4E	1.0	0.09
EIF4E1B	1.6195e-06	1.085
EIF4E2	0.080345	0.726
EIF4E3	1.7415e-08	1.256
EIF4EBP1	0.0535	1.282
EIF4EBP2	0.04334	1.607
EIF4EBP3	0.00013354	1.594
EIF4ENIF1	1.0	0.285
EIF4G1	1.0	0.048
EIF4G2	1.0	0.117
EIF4G3	1.0	0.213
EIF4H	0.97569	0.507
EIF5	0.99999	0.347
EIF5A	0.99865	0.278
EIF5A2	0.0013192	1.301
EIF5AL1	0.20754	1.225
EIF5B	1.0	0.382
EIF6	0.65122	0.623
EIPR1	0.00021645	0.76
ELAC1	4.1173e-05	1.045
ELAC2	2.8305e-27	1.02
ELANE	0.00041675	1.245
ELAPOR1	6.9846e-15	0.768
ELAPOR2	1.1501e-16	0.939
ELAVL1	1.0	0.158
ELAVL2	1.0	0.249
ELAVL3	0.99908	0.412
ELAVL4	1.0	0.137
ELF1	0.021991	0.656
ELF2	1.0	0.271
ELF3	0.014955	0.678
ELF5	4.4793e-09	1.064
ELFN1	0.0033237	1.841
ELFN2	0.71553	0.566
ELK3	0.7215	0.608
ELK4	0.002078	0.856
ELL	0.99714	0.466
ELL2	1.0	0.348
ELL3	1.201e-13	1.018
ELMO1	1.0	0.343
ELMO2	0.98091	0.486
ELMO3	2.5115000000000002e-25	1.093
ELMOD1	0.14738	0.665
ELMOD2	0.00015299	0.881
ELMOD3	2.1153e-08	1.021
ELN	7.6169e-10	0.696
ELOA	1.0	0.285
ELOA2	0.044847	1.841
ELOB	0.62297	0.788
ELOC	0.98531	0.304
ELOVL1	0.99896	0.427
ELOVL2	9.61e-14	1.336
ELOVL3	0.0037082	1.134
ELOVL4	0.12588	0.649
ELOVL5	0.99902	0.405
ELOVL6	0.99683	0.428
ELOVL7	8.9339e-05	1.035
ELP1	1.1953e-23	0.803
ELP2	5.4885e-16	0.869
ELP3	1.8128e-12	0.936
ELP4	5.2279e-11	1.377
ELP5	1.4748e-12	1.329
ELP6	3.2451e-06	1.204
ELSPBP1	8.318e-15	1.467
EMB	0.0062839	0.889
EMC1	1.0051000000000001e-25	0.913
EMC10	3.4071e-13	1.606
EMC2	3.2488e-05	1.84
EMC3	0.91578	0.548
EMC4	0.34265	0.707
EMC6	0.77762	0.734
EMC7	0.99861	0.375
EMC8	0.023214	0.915
EMC9	4.3378e-06	1.115
EMCN	8.4788e-06	1.355
EME1	2.8937e-20	1.248
EME2	3.5651e-28	1.942
EMG1	2.5463e-07	1.228
EMID1	5.1538e-11	0.994
EMILIN1	3.194e-10	0.832
EMILIN2	8.8336e-21	1.047
EMILIN3	4.3645e-14	1.127
EML1	1.0	0.36
EML2	1.1628e-13	0.845
EML3	2.4595e-06	0.63
EML4	3.8359e-07	0.68
EML5	1.2485e-08	0.565
EML6	1.4134e-21	0.726
EMP1	0.81803	0.629
EMP2	1.3258e-09	1.855
EMP3	0.00038448	1.021
EMX1	0.0011646	1.324
EMX2	0.97789	0.499
EN1	0.52279	0.724
EN2	0.39034	0.775
ENAH	0.99976	0.423
ENAM	0.0011786	0.892
ENC1	0.06394	0.653
ENDOD1	1.2227e-05	1.843
ENDOG	5.215e-10	1.847
ENDOU	1.9393e-12	1.094
